energy x y z iso x_broadened y_broadened z_broadened iso_broadened
-1.892999999999999972e+01 4.694425032914667324e-06 4.694425032914667324e-06 4.695509630965846018e-06 4.694786565598392991e-06 3.242997885418730534e-05 3.242997885418730534e-05 3.243872782618940323e-05 3.243289517818799561e-05
-1.892000000000000171e+01 4.699906400251887290e-06 4.699906400251887290e-06 4.700996190190992712e-06 4.700269663564922148e-06 3.248544263902160533e-05 3.248544263902160533e-05 3.249423176110975177e-05 3.248837234638432081e-05
-1.891000000000000014e+01 4.705397898102136589e-06 4.705397898102135742e-06 4.706492373403518798e-06 4.705762723202597043e-06 3.254070333056302366e-05 3.254070333056302366e-05 3.254953270269942566e-05 3.254364645460850229e-05
-1.889999999999999858e+01 4.710899526465415222e-06 4.710899526465415222e-06 4.711998307234834644e-06 4.711265786721888362e-06 3.259576865396663676e-05 3.259576865396663676e-05 3.260463837769576569e-05 3.259872522854301307e-05
-1.889000000000000057e+01 4.716410525553244887e-06 4.716410525553245734e-06 4.717514244947766067e-06 4.716778432018086692e-06 3.265064607246451016e-05 3.265064607246451016e-05 3.265955625087857661e-05 3.265361613193587016e-05
-1.887999999999999901e+01 4.721931655154105580e-06 4.721931655154105580e-06 4.723040186542313915e-06 4.722301165616841974e-06 3.270534279857239152e-05 3.270534279857239152e-05 3.271429353627932073e-05 3.270832637780802556e-05
-1.887000000000000099e+01 4.727462535373754339e-06 4.727462535373754339e-06 4.728575878755654064e-06 4.727833649834387016e-06 3.275986580473549183e-05 3.275986580473549183e-05 3.276885720782935207e-05 3.276286293910010965e-05
-1.885999999999999943e+01 4.733003672737847035e-06 4.733003672737846188e-06 4.734121701482021005e-06 4.733376348985905307e-06 3.281422183344542658e-05 3.281422183344542658e-05 3.282325400947913433e-05 3.281723255878999583e-05
-1.885000000000000142e+01 4.738554307457903672e-06 4.738554307457903672e-06 4.739677401458593157e-06 4.738928672124800449e-06 3.286841740685830874e-05 3.286841740685830874e-05 3.287749046481871243e-05 3.287144175951177438e-05
-1.883999999999999986e+01 4.744115705848054188e-06 4.744115705848054188e-06 4.745242852053954220e-06 4.744491421250020583e-06 3.292245883594207444e-05 3.292245883594207444e-05 3.293157288622727423e-05 3.292549685270380997e-05
-1.882999999999999829e+01 4.749687108119821129e-06 4.749687108119821129e-06 4.750818939687997101e-06 4.750064385309213120e-06 3.297635222917942122e-05 3.297635222917942122e-05 3.298550738357840635e-05 3.297940394731241852e-05
-1.882000000000000028e+01 4.755267754484727041e-06 4.755267754484726194e-06 4.756404904572243498e-06 4.755646804513899758e-06 3.303010350085102450e-05 3.303010350085101773e-05 3.303929987252551294e-05 3.303316895807584946e-05
-1.880999999999999872e+01 4.760858911256900166e-06 4.760858911256900166e-06 4.762000746706691716e-06 4.761239523073497631e-06 3.308371837892230209e-05 3.308371837892230209e-05 3.309295608239077560e-05 3.308679761341178874e-05
-1.880000000000000071e+01 4.766460198542102625e-06 4.766460198542102625e-06 4.767607099248409689e-06 4.766842498777537748e-06 3.313720241255543083e-05 3.313720241255543083e-05 3.314648156367928434e-05 3.314029546293005318e-05
