energy x y z iso ld ab c_grazing ld_grazing c_pure ld_pure
-1.932000000000000028e+01 4.052857348225479906e-04 4.052855909278873722e-04 2.803364168455771063e-04 3.636359141986708773e-04 1.249492460296406022e-04 4.052856628752177356e-04 3.002034494187672009e-04 1.050822134564505348e-04 2.803364168455771063e-04 1.249492460296406022e-04
-1.930999999999999872e+01 4.056513566041575897e-04 4.056512126037501798e-04 2.805916046455385099e-04 3.639647246178154445e-04 1.250596799584153477e-04 4.056512846039538847e-04 3.004761963039561507e-04 1.051750882999977611e-04 2.805916046455385099e-04 1.250596799584153477e-04
-1.930000000000000071e+01 4.060158565292889231e-04 4.060157124235895987e-04 2.808460228291239139e-04 3.642925305940008119e-04 1.251697616473153199e-04 4.060157844764392880e-04 3.007481175663401685e-04 1.052676669100991060e-04 2.808460228291239139e-04 1.251697616473153199e-04
-1.928999999999999915e+01 4.063795076312141973e-04 4.063793634205797693e-04 2.810998601572576357e-04 3.646195770696838674e-04 1.252795753686393205e-04 4.063794355258969833e-04 3.010194153662081973e-04 1.053600201596887725e-04 2.810998601572576357e-04 1.252795753686393205e-04
-1.928000000000000114e+01 4.067425401118280139e-04 4.067423957965326229e-04 2.813532757820030026e-04 3.649460705634545465e-04 1.253891921721773700e-04 4.067424679541803726e-04 3.012902601525984758e-04 1.054522078015819104e-04 2.813532757820030026e-04 1.253891921721773700e-04
-1.926999999999999957e+01 4.071051474357705686e-04 4.071050030160191287e-04 2.816064034593468782e-04 3.652721846370454890e-04 1.254986717665479163e-04 4.071050752258947945e-04 3.015607951752171008e-04 1.055442800506777072e-04 2.816064034593468782e-04 1.254986717665479163e-04
-1.926000000000000156e+01 4.074674916772772957e-04 4.074673471532164995e-04 2.818593552454102093e-04 3.655980646919679473e-04 1.256080641698366341e-04 4.074674194152468434e-04 3.018311404431017189e-04 1.056362789721451381e-04 2.818593552454102093e-04 1.256080641698366341e-04
-1.925000000000000000e+01 4.078297081897741994e-04 4.078295635615020588e-04 2.821122247244824566e-04 3.659238321585862744e-04 1.257174111511556995e-04 4.078296358756381291e-04 3.021013961818648074e-04 1.057282396937733623e-04 2.821122247244824566e-04 1.257174111511556995e-04
-1.923999999999999844e+01 4.081919096655980787e-04 4.081917649331722191e-04 2.823650898154618418e-04 3.662495881380773799e-04 1.258267474839233342e-04 4.081918372993851760e-04 3.023716458394065405e-04 1.058201914599785813e-04 2.823650898154618418e-04 1.258267474839233342e-04
-1.923000000000000043e+01 4.085541896498936002e-04 4.085540448133385787e-04 2.826180152009763252e-04 3.665754165547361861e-04 1.259361020306397913e-04 4.085541172316161165e-04 3.026419586875162861e-04 1.059121585440998169e-04 2.826180152009763252e-04 1.259361020306397913e-04
-1.921999999999999886e+01 4.089166255688703048e-04 4.089164806281824350e-04 2.828710544207864767e-04 3.669013868726130360e-04 1.260454986777399203e-04 4.089165530985263428e-04 3.029123920639172096e-04 1.060041610346091739e-04 2.828710544207864767e-04 1.260454986777399203e-04
-1.921000000000000085e+01 4.092792813284024914e-04 4.092791362835551021e-04 2.831242516681759316e-04 3.672275564267111570e-04 1.261549571378028651e-04 4.092792088059787696e-04 3.031829932962092121e-04 1.060962155097695846e-04 2.831242516681759316e-04 1.261549571378028651e-04
-1.919999999999999929e+01 4.096422095345762598e-04 4.096420643855248987e-04 2.833776433249956183e-04 3.675539724150321866e-04 1.262644936350549338e-04 4.096421369600505521e-04 3.034538013459084360e-04 1.061883356141421025e-04 2.833776433249956183e-04 1.262644936350549338e-04
-1.919000000000000128e+01 4.100054533833407061e-04 4.100053081300242784e-04 2.836312592679642031e-04 3.678806735937764139e-04 1.263741214887182350e-04 4.100053807566824381e-04 3.037248482075008806e-04 1.062805325491815575e-04 2.836312592679642031e-04 1.263741214887182350e-04
-1.917999999999999972e+01 4.103690482620136353e-04 4.103689029043590657e-04 2.838851239757785873e-04 3.682076917140504656e-04 1.264838516074077903e-04 4.103689755831863776e-04 3.039961600941622189e-04 1.063728154890241587e-04 2.838851239757785873e-04 1.264838516074077903e-04
-1.917000000000000171e+01 4.107330231011267372e-04 4.107328776390507048e-04 2.841392574636344352e-04 3.685350527346039230e-04 1.265936929064543129e-04 4.107329503700887481e-04 3.042677584386329075e-04 1.064651919314558407e-04 2.841392574636344352e-04 1.265936929064543129e-04
-1.916000000000000014e+01 4.110974015109960795e-04 4.110972559444065898e-04 2.843936760689301946e-04 3.688627778414442699e-04 1.267036526587711129e-04 4.110973287277012805e-04 3.045396607347105895e-04 1.065576679929907181e-04 2.843936760689301946e-04 1.267036526587711129e-04
-1.914999999999999858e+01 4.114622027335495375e-04 4.114620570623481449e-04 2.846483931092602887e-04 3.691908843017193418e-04 1.268137367886885253e-04 4.114621298979488141e-04 3.048118812419631295e-04 1.066502486559856846e-04 2.846483931092602887e-04 1.268137367886885253e-04
-1.914000000000000057e+01 4.118274424363468629e-04 4.118272966604294297e-04 2.849034194313170769e-04 3.695193861760311051e-04 1.269239501170710965e-04 4.118273695483881734e-04 3.050844315736041734e-04 1.067429379747839865e-04 2.849034194313170769e-04 1.269239501170710965e-04
-1.912999999999999901e+01 4.121931333724134167e-04 4.121929874916713601e-04 2.851587638670300502e-04 3.698482949103716090e-04 1.270342965650123382e-04 4.121930604320423884e-04 3.053573211850204986e-04 1.068357392470219034e-04 2.851587638670300502e-04 1.270342965650123382e-04
